Rating,Title,Description,Cleaned_Description
4.0,Delightful,Battery back up is osm..👍Sound quality ok.Bass is satisfactory..👍Over all a good product..🙂READ MORE,battery back osm..sound quality ok.bass satisfactory..over good product
5.0,Highly recommended,Best nice bass 👌 call voice cleanREAD MORE,best nice bass call voice clean
5.0,Worth every penny,Super 👍👍 fentastic and ultimate sound quality.. wonderful . Extraordinary boss.Great productREAD MORE,super fentastic ultimate sound quality.. wonderful . extraordinary boss.great product
5.0,Best in the market!,Good product❤️READ MORE,good product
5.0,Great product,New Unique DesignBuild Quality SuperbValue for moneyAnd mostly superb FitREAD MORE,new unique designbuild quality superbvalue moneyand mostly superb fit
3.0,Does the job,"Everything good except mic it's difficult to talk through mic outdoor, in indoor average qualityREAD MORE","everything good except mic difficult talk mic outdoor, indoor average quality"
5.0,Classy product,Super product... Sound and b power is amazing😍 no Tinking just buying 👍READ MORE,super product... sound b power amazing tinking buying
5.0,Terrific,Good productREAD MORE,good product
4.0,Very Good,Sound quality good... good bassREAD MORE,sound quality good... good bass
5.0,Best in the market!,"This is very good tws, this sound is very hard and deep.So I recommend this watch is usefull.READ MORE","good tws, sound hard deep.so recommend watch usefull"
5.0,Wonderful,Product value for money this price.❤️READ MORE,product value money price
5.0,Best in the market!,Good product at value for many but only a problem it range has only 10 mm otherwise it's a good productREAD MORE,good product value many problem range 10 mm otherwise good product
4.0,Worth the money,Very nice product thanks filipkartREAD MORE,nice product thanks filipkart
4.0,Delightful,Outstanding Sound BoomX 👌Premium Build Quality💪Battery Backup Amazing ⚡READ MORE,outstanding sound boomx premium build qualitybattery backup amazing
3.0,Decent product,Product is ok...will hurt your ear within half n hour ..bass ok ok...product is just okREAD MORE,product ok...will hurt ear within half n hour ..bass ok ok...product ok
4.0,Nice product,Very nice..sound quality also superb..READ MORE,nice..sound quality also superb
4.0,Really Nice,Good design and qualityREAD MORE,good design quality
5.0,Just wow!,"Amazing one , superb base worth for this budgetREAD MORE","amazing one , superb base worth budget"
4.0,Wonderful,"No Words , super productREAD MORE","word , super product"
5.0,Wonderful,Nice product 😊 👍 good delivery thanks FlipkartREAD MORE,nice product good delivery thanks flipkart
5.0,Fabulous!,Value for money product  must purchaseREAD MORE,value money product must purchase
4.0,Good quality product,Design and build is betterREAD MORE,design build better
5.0,Mind-blowing purchase,"At this price , it is value for money product, sound quality for music and movies is good at 70-80 % of volume. Calling voice quality is ok-ok , overall its goodREAD MORE","price , value money product, sound quality music movie good 7080 volume. calling voice quality okok , overall good"
4.0,Really Nice,Nice product ☺️☺️👍READ MORE,nice product
5.0,Awesome,"Nice product 👍,and sound quality is very good,i like it.👌READ MORE","nice product ,and sound quality good,i like"
4.0,Nice product,"After using of 5 days I give this review.its amazing earbuds in this segment this is my first wireless earphone, before 2year I am using realme buds 2 it also amazing but boult audio z40 give the extra bass and  sound quality I love the basss....READ MORE","using 5 day give review.its amazing earbuds segment first wireless earphone, 2year using realme bud 2 also amazing boult audio z40 give extra bass sound quality love bass"
4.0,Really Nice,Battery and sounds good 🔥READ MORE,battery sound good
4.0,Very Good,Really good product amazing sound bass voice all goodREAD MORE,really good product amazing sound bass voice good
4.0,Pretty good,Good soundREAD MORE,good sound
5.0,Mind-blowing purchase,Product is good.. Sound base quality perfect.. Design is ok but their is no thinkness in outercore  very delicate in rough hands... But it's perfectly valuable for the price..READ MORE,product good.. sound base quality perfect.. design ok thinkness outercore delicate rough hands... perfectly valuable price
5.0,Terrific,Best quality . Happy costumer. Audio quality is very good. Mic is clear for calls.READ MORE,best quality . happy costumer. audio quality good. mic clear call
5.0,Worth every penny,AmezingSound Quality - bestCalling - Clear callBattery Backup - goodREAD MORE,amezingsound quality bestcalling clear callbattery backup good
5.0,Brilliant,Reviewing it after 2 months of use. it's battery backup is awesome you can continuously use it for more than 12 hours in single earbud charge. Build quality is also good and it easily get  fixed in earsREAD MORE,reviewing 2 month use. battery backup awesome continuously use 12 hour single earbud charge. build quality also good easily get fixed ear
5.0,Does the job,Very bad☹️☹️☹️READ MORE,bad
5.0,Brilliant,This price range it is very clear good and awsome earpodREAD MORE,price range clear good awsome earpod
5.0,Brilliant,"This is very adjustment air buds,, and its quality is mind blowingREAD MORE","adjustment air buds,, quality mind blowing"
5.0,Worth every penny,"Great product with a great sound quality and bass, loved itREAD MORE","great product great sound quality bass, loved"
3.0,Good,I am rating this one after 12 days of use. Over-all it's good.- main thing is that the RGB light is taking more charge it's obvious.- and the case charging time is more than 2hrs.- while using both buds at a time some time it's getting one-sided. Like in one side is louder than the other.Over-all it's better according to price range of 1100 but when it's 1500 and above then don't go for it - dual connectivity is fine but somehow it's unstable- Now am editing this after 1month of use and...READ MORE,rating one 12 day use. overall good. main thing rgb light taking charge obvious. case charging time 2hrs. using bud time time getting onesided. like one side louder other.overall better according price range 1100 1500 dont go dual connectivity fine somehow unstable editing 1month use
5.0,Just wow!,very nice headphones and design is also very nice.READ MORE,nice headphone design also nice
3.0,Good,After 4 month one side airbot sounds are not come. It is connected but not coming sound.READ MORE,4 month one side airbot sound come. connected coming sound
5.0,Best in the market!,Product very good qualityREAD MORE,product good quality
5.0,Worth every penny,Product is asm ... Super bass Value for money Thanx flipcart ....READ MORE,product asm ... super bass value money thanx flipcart
5.0,Awesome,"Nice product,sound quality is so goodREAD MORE","nice product,sound quality good"
5.0,Mind-blowing purchase,"I recently got my hands on the Wireless Headphones Z40 from Boult Audio, and I must say, these headphones have truly transformed my audio experience. From comfort to sound quality, these headphones have set a new standard for wireless audio.First and foremost, the comfort level of the Boult Audio Z40 is exceptional. The plush ear cushions and adjustable headband make for a snug fit that doesn't cause discomfort even during extended listening sessions. The headphones are lightweight, which f...READ MORE","recently got hand wireless headphone z40 boult audio, must say, headphone truly transformed audio experience. comfort sound quality, headphone set new standard wireless audio.first foremost, comfort level boult audio z40 exceptional. plush ear cushion adjustable headband make snug fit doesnt cause discomfort even extended listening sessions. headphone lightweight, f"
5.0,Excellent,Absulty value of money ... I typing a review after using this a month.. a power backup of this buds so goodREAD MORE,absulty value money ... typing review using month.. power backup bud good
5.0,Worth every penny,Good 👍👍READ MORE,good
4.0,Nice product,Sound quality too good.Bass perfectly balanced.Call quality good.Overall good package at this segment.READ MORE,sound quality good.bass perfectly balanced.call quality good.overall good package segment
4.0,Value-for-money,"The product is overall good and provides value for your money. However, I encountered an issue when using it with my iPhone and iWatch. Whenever I answered phone calls through my iWatch, the audio would not be transmitted to my headphones, resulting in the audio remaining on the watch itself. As an iPhone user, this was inconvenient for me.I hope they will address this issue promptly because this feature is available in AirPod copy products as well. A truly perfect product should fulfill al...READ MORE","product overall good provides value money. however, encountered issue using iphone iwatch. whenever answered phone call iwatch, audio would transmitted headphones, resulting audio remaining watch itself. iphone user, inconvenient me.i hope address issue promptly feature available airpod copy product well. truly perfect product fulfill al"
5.0,Great product,Good quality 😒READ MORE,good quality
4.0,Delightful,"In the description it shows Bluetooth 5.3 version but actually it's 5.1..,First I have received faulty one, replaced to new one..... Best design and build quality compared to the boatREAD MORE","description show bluetooth 5.3 version actually 5.1..,first received faulty one, replaced new one..... best design build quality compared boat"
4.0,Terrific purchase,Sound quality mst h no any problemREAD MORE,sound quality mst h problem
4.0,Really Nice,Product is very good but ear is not long comfortable.READ MORE,product good ear long comfortable
4.0,Good quality product,"Works well, but built quality could have been better like the boult w40. Mor over the design of lid is annoying, because you can't take out the earbudss using one hand while resting the case on something. The moment you rest the opened case on the table it closes. It requires both hands to take out the buds. Boult k40/w40 were better in these aspectsREAD MORE","work well, built quality could better like boult w40. mor design lid annoying, cant take earbudss using one hand resting case something. moment rest opened case table closes. requires hand take buds. boult k40w40 better aspect"
4.0,Wonderful,It a best value for money.READ MORE,best value money
4.0,Very Good,Quality productsREAD MORE,quality product
5.0,Fabulous!,Camera with this phone just kills my iphone 14 pro.Now i want to switch from from ios to android this thing is so good and smooth.READ MORE,camera phone kill iphone 14 pro.now want switch io android thing good smooth
5.0,Terrific purchase,Overall experience superb..READ MORE,overall experience superb
5.0,Excellent,"Upgraded from Pixel 4A to Pixel 9. Fantastic upgrade, improved camera, solid built quality, no heating issue, amazing photo editing software and much long lasted battery than my previous one. Overall feels very smooth performance and wonderful AI experience.READ MORE","upgraded pixel 4a pixel 9. fantastic upgrade, improved camera, solid built quality, heating issue, amazing photo editing software much long lasted battery previous one. overall feel smooth performance wonderful ai experience"
5.0,Great product,Great experience so far!Design is awesome!Camera is 9/10Battery 9/10Performance 10/10Design 10/10Sound 10/10Video 10/10 (2160P on YT)READ MORE,great experience far!design awesome!camera 910battery 910performance 1010design 1010sound 1010video 1010 2160p yt
5.0,Fabulous!,Outstanding 🥰 loved itREAD MORE,outstanding loved
5.0,Terrific,"I am very happy this Pixel exists. The phone is fast, feels like it already knows your next step/action. No stutters, don't fall for criticism on G4, I had my doubts now I don't, it's very well optimised 👌If you want that peak raw performance for very heavy tasks then this might not be for you. I played codm and bgmi for an hour straight didn't heat and gameplay was good and daily usage is smooth af! Pixel UI is just a bliss to use 🫶Camera I need not mention, it's really good, vide...READ MORE","happy pixel exists. phone fast, feel like already know next stepaction. stutters, dont fall criticism g4, doubt dont, well optimised want peak raw performance heavy task might you. played codm bgmi hour straight didnt heat gameplay good daily usage smooth af! pixel ui bliss use camera need mention, really good, vide"
5.0,Super!,Awasome...the best.READ MORE,awasome...the best
5.0,Simply awesome,"Absolutely fantastic. I switched over from iPhone 13 pro. Quick commentsFantastic screenGreat hapticsVery good cameraVery less heating Signal(my area and usage) no difference between iPhone, Samsung and pixel 9. Very quick and fast finger print sensor(choose a tempered glass that supports this) Good battery life(two days of usage) Very smooth and fast performance on daily usage(I don't play games)READ MORE","absolutely fantastic. switched iphone 13 pro. quick commentsfantastic screengreat hapticsvery good cameravery less heating signalmy area usage difference iphone, samsung pixel 9. quick fast finger print sensorchoose tempered glass support good battery lifetwo day usage smooth fast performance daily usagei dont play game"
5.0,Must buy!,"Upgraded from my pixel 6a and honestly much better improvement in all aspects.Camera is great as always, design is by far the best and feels like a flagship premium deviceThe battery has been improved as it lasts for more than a day. No heating issues are faced so far as well :)The only con is the charging speed is still very slow as compared to other premium phones, it takes more than 1.5 hours for full charge.READ MORE","upgraded pixel 6a honestly much better improvement aspects.camera great always, design far best feel like flagship premium devicethe battery improved last day. heating issue faced far well con charging speed still slow compared premium phones, take 1.5 hour full charge"
5.0,Classy product,Mind blowing google rocks 👌💪👍READ MORE,mind blowing google rock
5.0,Must buy!,"Best in hand feel, performance  and good camera...  Don't believe in negative comments... and youtubers, other companies phone are worst looking ugly looking, samsung phones are same looking and iphone is different operating system , if you are looking for Android  then this is the best in classREAD MORE","best hand feel, performance good camera... dont believe negative comments... youtubers, company phone worst looking ugly looking, samsung phone looking iphone different operating system , looking android best class"
5.0,Brilliant,Excellent phoneREAD MORE,excellent phone
5.0,Super!,Excellent camera and great performanceREAD MORE,excellent camera great performance
5.0,Worth every penny,"Overall rating - 4.7/5Pros:1. Excellent camera2. Improved battery backup3. Buttery smooth UI4. Useful AI features5. 7 years of software support6. Quality display 7. Compact form factorCons:1. Camera module placing/design could have done better for better aesthetics (my personal opinion)2. Display bezel thickness is more compared to competitors (you will get used to it within a day, so manageable)3. Slow chargingREAD MORE","overall rating 4.75pros1. excellent camera2. improved battery backup3. buttery smooth ui4. useful ai features5. 7 year software support6. quality display 7. compact form factorcons1. camera module placingdesign could done better better aesthetic personal opinion2. display bezel thickness compared competitor get used within day, manageable3. slow charging"
5.0,Wonderful,"To keep it very simple, this phone can be termed as an iPhone with Android. It was mainly that the camera and  battery were too good!!READ MORE","keep simple, phone termed iphone android. mainly camera battery good!!"
5.0,Worth every penny,"Camera's ultra HDR feature needs an update to be fixed.The blurring of the background is on point.I'm sure the software update will fix the TRAIL things used here.The design is fantastic, it just heats a lot.READ MORE","camera ultra hdr feature need update fixed.the blurring background point.im sure software update fix trail thing used here.the design fantastic, heat lot"
5.0,Awesome,Super and excellent mobile. I ❤️ itREAD MORE,super excellent mobile.
5.0,Mind-blowing purchase,"Upgraded to 9A after using pixel 4A for a good 4.5 years.  I was really happy and satisfied using the pixel 4A. Many times added the Pixel 8A to the cart but never purchased it bcoz of xyz reasons... I wanted something more....Was very eagerly waiting for the availability of 9A, and finally just grabbed it on the launch day.Short reviews are 4 days of use :Pros -- Fantastic IRIS colour looks stunning - Great Camera offcourse - Pure stock android experience (coming from 4A didn't wa...READ MORE","upgraded 9a using pixel 4a good 4.5 years. really happy satisfied using pixel 4a. many time added pixel 8a cart never purchased bcoz xyz reasons... wanted something more....was eagerly waiting availability 9a, finally grabbed launch day.short review 4 day use pro fantastic iris colour look stunning great camera offcourse pure stock android experience coming 4a didnt wa"
4.0,Pretty good,"Overall mobile is good as per performance,but disappointed for battery charging time check out a few photos sample attachedREAD MORE","overall mobile good per performance,but disappointed battery charging time check photo sample attached"
4.0,Value-for-money,"Good budget centric Google phone.With bigger 5100mah battery.Decent Camera - no more option as compare to oppo, vivo, samsung filters and face filtersStock android experience is top notch👍🌟Didn't liked the thick bezels.READ MORE","good budget centric google phone.with bigger 5100mah battery.decent camera option compare oppo, vivo, samsung filter face filtersstock android experience top notchdidnt liked thick bezel"
5.0,Super!,"Sharing my 2 months experience with pixel 9 is going great in all aspects. I have upgraded from Pixel 6a to Pixel 9.. And there are a lot of improvements in Camera, Battery life, Phone heating issue. Overall, I loved the Pixel 9 and the camera is amazing and can easily beat recent Iphone Cameras.Attached photos and video for camera quality.Wintergreen color is Awesome.READ MORE","sharing 2 month experience pixel 9 going great aspects. upgraded pixel 6a pixel 9.. lot improvement camera, battery life, phone heating issue. overall, loved pixel 9 camera amazing easily beat recent iphone cameras.attached photo video camera quality.wintergreen color awesome"
5.0,Highly recommended,"Review from a long term Iphone User:( Exchanged my Iphone 14Pro)Camera Performance:The Pixel 9's camera has consistently impressed me, particularly in low-light environments. The AI-driven image processing is exceptional, capturing intricate details and vibrant colors. While I have occasionally observed slight overexposure or blown-out highlights in bright lighting conditions, these are minor issues that don't significantly detract from the overall quality. I believe a software update co...READ MORE","review long term iphone user exchanged iphone 14procamera performancethe pixel 9 camera consistently impressed me, particularly lowlight environments. aidriven image processing exceptional, capturing intricate detail vibrant colors. occasionally observed slight overexposure blownout highlight bright lighting conditions, minor issue dont significantly detract overall quality. believe software update co"
5.0,Brilliant,"Loved this phone, for the first time I have bought Google pixel, completely satisfied.READ MORE","loved phone, first time bought google pixel, completely satisfied"
4.0,Good quality product,"Review after using Pixel 9 for one month:I bought this during the sale with cashback and exchange for around 61k, which was a decent price.I was using OnePlus 7t for the past 5 years and upgraded to this device as I'm not a big fan of apple. This did not disappoint me. It's great update from OnePlus 7t which itself was a great phone to use.Pros:1. The build quality is great.2. The size is quite handy, this phone will definitely suit you if you prefer a smaller phone.3. Battery lasts ...READ MORE","review using pixel 9 one monthi bought sale cashback exchange around 61k, decent price.i using oneplus 7t past 5 year upgraded device im big fan apple. disappoint me. great update oneplus 7t great phone use.pros1. build quality great.2. size quite handy, phone definitely suit prefer smaller phone.3. battery last"
5.0,Perfect product!,"Fantastic Phone with an amazing point and shoot camera. The video quality is very good. And the display compliments the camera so well. The HDR photos look like Chef's Kiss. However, performance is not justified for the price, you can see the phone struggle when you're trying to multi task hard, it'll get warm but it's miles better than the previous series which used to run warm always. However, during normal usage, like taking calls, watching videos, using the camera in burst it behaves like...READ MORE","fantastic phone amazing point shoot camera. video quality good. display compliment camera well. hdr photo look like chef kiss. however, performance justified price, see phone struggle youre trying multi task hard, itll get warm mile better previous series used run warm always. however, normal usage, like taking calls, watching videos, using camera burst behaves like"
5.0,Fabulous!,"Love it so far! Lovely design. Smooth experience. Impressed with the battery majorly, it easily comes for whole day with fair usage. For whoever hates ios but wants a better camera like Iphone in android this is the phone for you.READ MORE","love far! lovely design. smooth experience. impressed battery majorly, easily come whole day fair usage. whoever hate io want better camera like iphone android phone"
5.0,Fabulous!,This is really a premium display with lot's of A feature I have last 3 to 4 days performance was awesome with killing Camera love this product 😍 thanks filpkart ....READ MORE,really premium display lot feature last 3 4 day performance awesome killing camera love product thanks filpkart
4.0,Nice product,GoodREAD MORE,good
4.0,Really Nice,Overall good.Battery life is good.Day to day work performance is good.The fingerprint sensor doesn't work flawlessly.Updated to Android 15.READ MORE,overall good.battery life good.day day work performance good.the fingerprint sensor doesnt work flawlessly.updated android 15
5.0,Simply awesome,Google pixel is one phone you should go for never disappointing. If you are going for a regular and user friendly it's the best. Camera is best in he segment plus AI is good for editing your pictures.READ MORE,google pixel one phone go never disappointing. going regular user friendly best. camera best segment plus ai good editing picture
5.0,Simply awesome,"Best software experience including AI features, good battery life and a great camera with 7 years of software support... Loved itREAD MORE","best software experience including ai features, good battery life great camera 7 year software support... loved"
5.0,Perfect product!,After having upgraded from Pixel 7 this phone is so refreshing and the design is so eye catching. Camera is good. Battery is good. Overall awesome 👍👍READ MORE,upgraded pixel 7 phone refreshing design eye catching. camera good. battery good. overall awesome
5.0,Must buy!,What a mind blowing device it has everything to go on topREAD MORE,mind blowing device everything go top
5.0,Wonderful,It was awesome ....the design and touch everything is too good .. especially the camera and the features like add me and all  are coo.....there is issue with heat ..when I using the phone I felt like a heating issue ..pixel need to work on that heating issue ... LlREAD MORE,awesome ....the design touch everything good .. especially camera feature like add coo.....there issue heat ..when using phone felt like heating issue ..pixel need work heating issue ...
5.0,Mind-blowing purchase,"The performance of the phone is very good, in terms of security, it needs to improve a bit, like the app lock such things.If we use screen guard / I  mean temper gaurd  for google pixel 9 phone, in display the fingerprint sensor is not working properly.READ MORE","performance phone good, term security, need improve bit, like app lock things.if use screen guard mean temper gaurd google pixel 9 phone, display fingerprint sensor working properly"
5.0,Terrific purchase,"Camera is good, battery and performance needs to be improved.Good to buy in BBD with offersREAD MORE","camera good, battery performance need improved.good buy bbd offer"
5.0,Brilliant,The phone's performance is really impressive so far.READ MORE,phone performance really impressive far
5.0,Terrific,Superb phone with an awesome camera and nice haptics. Battery life has been improved from past pixels. 10/10READ MORE,superb phone awesome camera nice haptics. battery life improved past pixels. 1010
5.0,Terrific,Great phone at a great price on BBD. The camera quality is killer.READ MORE,great phone great price bbd. camera quality killer
5.0,Terrific,My first PIXEL phone ever.I started loving it already.Nice build quality and software experience.Camera and battery backup seems to be pretty decent.I updated to ANDROID 15 BETA and no major glitches so far in my day to day usage.Haven't faced any heating issues so far.Hoping to keep the phone for at least the next couple of years.READ MORE,first pixel phone ever.i started loving already.nice build quality software experience.camera battery backup seems pretty decent.i updated android 15 beta major glitch far day day usage.havent faced heating issue far.hoping keep phone least next couple year
5.0,Excellent,"Great product. Google has finally done it. In pixel 7 and below, there is a heating problem, camera used to take its own sweet time, battery was average.Enter Pixel 9.Pros: 1. Battery: great battery, standby is top notch, it beats my Asus Rog phone 3 with a higher battery capacity.2. Camera: no complaints. One of the best. The add me feature is great, but I think after a few days no-one is gonna use add-me.3. Build: what a premium build, feels like you are holding a beast. The camera bu...READ MORE","great product. google finally done it. pixel 7 below, heating problem, camera used take sweet time, battery average.enter pixel 9.pros 1. battery great battery, standby top notch, beat asus rog phone 3 higher battery capacity.2. camera complaints. one best. add feature great, think day noone gonna use addme.3. build premium build, feel like holding beast. camera bu"
5.0,Excellent,Classy phone. Loved it.Feel so comfortable in hand. Overall a good performance phone out there nowREAD MORE,classy phone. loved it.feel comfortable hand. overall good performance phone
